기관명,기관구분,주소,홈페이지
더쉼정신건강의학과의원,의원,"경기도 성남시 분당구 대왕판교로606번길 39 201호,202호 (삼평동, 럭스타워)",
더웰병원,병원,"경기도 수원시 영통구 봉영로 1620 (영통동, 대우월드마크영통 3,5,6,7,8층)",
더정신건강의학과의원,의원,서울특별시 중구 남대문로9길 40 센터플레이스 204호 (다동),
더편한정신건강의학과의원,의원,부산광역시 사상구 가야대로 272 메디칼센타 10층 (주례동),
더하임,정신재활시설,충청남도 금산군 부리면 무금로 1425,www.theheim.net
더휴정신건강의학과의원,의원,경기도 고양시 일산동구 고양대로 757 3층 (중산동),
덕천엘정신건강의학과의원,의원,부산광역시 북구 만덕대로 16 5층 (덕천동),
도담,정신재활시설,"서울특별시 동대문구 사가정로 258, 4층",www.dodam-partager.net
도담도담,정신재활시설,경기도 수원시 영통구 영통로 130번길 45 102호,dodam0997.blog.me
도란도란,정신재활시설,"대전광역시 유성구 송강로 15, 104동 202호",blog.naver.com/dorandoran5
도래샘,정신재활시설,충청남도 공주시 큰우물길 3-1,http://cafe.daum.net/doraesam15
도봉구 정신건강복지센터,기초정신건강복지센터,"서울특별시 도봉구 방학로3길 117, 1층",health.dobong.go.kr/
도봉구보건소,보건소,서울특별시 도봉구 방학로 3길 117 ,
도봉구정신건강복지센터(부설),자살예방센터,"서울특별시 도봉구 방학로3길 117, 1층",health.dobong.go.kr
도연정신건강의학과의원,의원,서울특별시 동대문구 망우로 74 2층 (휘경동),
돌고래정신건강의학과의원,의원,경상북도 경산시 하양읍 대경로105길 3 2층,
돌봄사랑채,정신재활시설,서울특별시 광진구 아차산로 26길 28,dolbom2014.or.kr
동광임파워먼트센터,정신재활시설,경기도 부천시 원미구 부일로 191번길 30 동성프라자 701/702호,www.empowerment.or.kr
동교정신건강의학과의원,의원,서울특별시 마포구 신촌로 62 (동교동),
동구보건소,보건소,부산광역시 동구 구청로 1 ,
동구보건소,보건소,대구광역시 동구 동촌로 79 ,
동구보건소,보건소,인천광역시 동구 석수로 90 ,
동구보건소,보건소,광주광역시 동구 서남로 1 ,
동구보건소,보건소,대전광역시 동구 동구청로 147 ,
동구보건소,보건소,울산광역시 동구 봉수로 155 ,
동국대학교경주병원,광역정신건강복지센터,"경상북도 경주시 동대로 87, 복지동3층",www.gbmhc.or.kr
동국대학교의과대학경주병원,종합병원,경상북도 경주시 동대로 87 (석장동),
동국대학교일산병원,기초정신건강복지센터,경기도 파주시 봉천로 68 파주건강증진센터 1층,www.pajumind.org
동국대학교일산불교병원,종합병원,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",
동그라미,정신재활시설,"서울특별시 광진구 능동로 43길 30-11, 202호",cafe.naver.com/1004round
동그라미,정신재활시설,경기도 안성시 금광면 배티로 702-16,cafe.naver.com/choiyun41.cafe
동남권원자력의학원,공립,부산광역시 기장군 장안읍 좌동길 40,
동남권원자력의학원,종합병원,부산광역시 기장군 장안읍 좌동길 40 (),
동남정신과의원,의원,서울특별시 종로구 북촌로5길 64 3층 (소격동),
동대문구보건소,보건소,서울특별시 동대문구 천호대로 145 ,
동대문아이존,정신재활시설,서울특별시 동대문구 답십리로 63길 73 형제빌딩 2층,www.ddmaizone.or.kr
동두천시보건소,보건소,경기도 동두천시 중앙로 167 ,
동두천요양원,정신요양시설,경기도 동두천시 평화로 3208번길 43-15,www.ddcmental.or.kr
동래구보건소,보건소,부산광역시 동래구 명륜로 187번길 56 ,
동래봉생병원,종합병원,부산광역시 동래구 안연로109번길 27 (안락동),
동래직업재활센터,정신재활시설,"부산광역시 금정구 중앙대로 2093, 10층",blog.naver.com/dongrae20044
동산의료원,기초정신건강복지센터,대구광역시 달성군 옥포읍 비슬로 458길 6-2 3층,www.mind119.or.kr
동산정신건강의학과의원,의원,대구광역시 동구 송라로 86 대한빌딩 4층 (신천동),
동서울정신건강의학과의원,의원,서울특별시 광진구 자양로 186-1 1층 (구의동),
동아대학교병원,상급종합병원,부산광역시 서구 대신공원로 26 (동대신동3가),
동아대학교병원,광역정신건강복지센터,부산광역시 남구 수영로 299 루미너스타원 12층 ,www.busaninmaum.com
동아메디병원,기초정신건강복지센터,대구광역시 수성구 수성로 213,www.belami.or.kr
동안정신건강의학과의원,의원,"경기도 안양시 동안구 시민대로 175 301호 (비산동, 동안프라자)",
동양의료재단연세사랑병원,병원,경상남도 창원시 진해구 행암로 76 (장천동),
동영의료재단 상록병원,기초정신건강복지센터,부산광역시 동래구 명륜로 187번길 56 동래구보건소 4층,www.dnmhc.co.kr
동작구 정신건강복지센터,기초정신건강복지센터,서울특별시 동작구 남부순환로 2025,www.dongjak.go.kr
동작구보건소,보건소,서울특별시 동작구 장승배기로 10길 42 ,
동작아이존,정신재활시설,서울특별시 동작구 국사봉길 109,www.djaizone.or.kr
동탄정신건강의학과의원,의원,경기도 화성시 동탄순환대로 704 A동 302호 (영천동),
동해동인병원,기초정신건강복지센터,강원도 동해시 청운로 96(쇄운동) 1층,www.dhmhc.or.kr
동해동인병원,기초정신건강복지센터,강원도 삼척시 척주로 76,www.scmhc.or.kr
동해동인병원,기초정신건강복지센터,"강원도 태백시 태백로 905(황지동,보건소)",www.Happymind-tb.or.kr
동해시보건소,보건소,강원도 동해시 천곡로 100-2 ,
동해정신건강의학과의원,의원,울산광역시 남구 중앙로 239 4층 (신정동),
동행,정신재활시설,대전광역시 중구 유천로 48번길 31(유천동),www.dh2014.or.kr
동행,정신재활시설,전라북도 임실군 임실읍 호국로 1716-15,www.go-with.co.kr
동화정신건강의학과의원,의원,서울특별시 광진구 능동로 385-1 (중곡동),
두드림마음건강센터,정신재활시설,"서울특별시 양천구 등촌로 194, 4층",cafe.daum.net/dodmhc
두드림정신건강의학과의원,의원,대구광역시 북구 침산로 138 명성프라임 402호 (침산동),
두드림정신과의원,의원,"경기도 부천시 길주로 181 802~803호 (중동, 골든벨타워)",
두온,정신재활시설,경기도 용인시 기흥구 상갈로23번길 2 204호,
둥근나래꿈 남성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",http://둥근마음.kr
둥근나래꿈 여성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",http://둥근마음.kr
둥근마음,정신재활시설,전라북도 익산시 목천로 229,http://둥근마음.kr
드림빌1,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 301호,benest.or.kr
드림빌2,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 201호,benest.or.kr
드림정신건강의학과의원,의원,광주광역시 동구 제봉로 27 3층 (학동),
드림정신건강의학과의원,의원,"충청북도 청주시 흥덕구 2순환로 1240 602호 (강서동, MK빌딩)",
드림하우스(구 사랑마을),정신재활시설,서울특별시 중랑구 망우로74가길 9,igonggam.net
디딤돌,정신재활시설,"서울특별시 도봉구 도당로 27길 47, 2층",ddimdol.biz
디딤병원,병원,경기도 부천시 부천로29번길 7 부천메디컬프라자 5~10층 (심곡동),
디딤정신건강의학과의원,의원,"경기도 화성시 동탄대로 489 우성KTX타워 8층 801,806-1호 (오산동)",
디딤정신건강의학과의원,의원,서울특별시 노원구 노해로 488 5층 (상계동),
디딤정신건강의학과의원,의원,"서울특별시 서초구 동작대로 118 503호 (방배동, 예다인프라자)",
디딤정신건강의학과의원,의원,"경기도 안양시 동안구 시민대로 214 1101호 (호계동, 다운타운빌딩)",
디딤정신건강의학과의원,의원,경기도 의정부시 청사로 50 204호 (금오동),
디딤정신과의원,의원,"서울특별시 송파구 올림픽로 119 (잠실동, 파인애플상가 4B 29호)",
디딤터,정신재활시설,충청북도 청주시 서원구 현도면 우록4길126,www.didimter.com
라끄리니정신건강의학과의원,의원,"경기도 성남시 분당구 성남대로 385 504호 (정자동, 분당클리닉빌딩)",
라엘마음병원,병원,"경기도 고양시 덕양구 중앙로 628 예일프라자 7층 6층(607,608)호 (화정동)",
라엘정신건강의학과의원,의원,서울특별시 영등포구 양평로 99 10층 (양평동4가),
라온 ,정신재활시설,경기도 포천시 삼육사로 2029 엘리트빌리지 가동,www.laon.or.kr
라온의 집,정신재활시설,충청남도 홍성군 홍성읍 대내길 97번지,http://www4.uilwon.org
라온정신건강의학과의원,의원,"인천광역시 연수구 컨벤시아대로 69 (송도동,밀레니엄상가 7층 706-1호)",
라움정신건강의학과의원,의원,"경상남도 양산시 양산역6길 3 3층 305호 (중부동, 센트럴스위트)",
라임정신건강의학과의원,의원,서울특별시 영등포구 국제금융로 78 홍우빌딩 3층 1호 (여의도동),
라임정신건강의학과의원,의원,"서울특별시 서초구 신반포로3길 8 301호 (반포동, 반포프라자)",
라파의 집,정신재활시설,충청북도 증평군 증평읍 외룡길32-24,www.rapa.kr
라헬정신건강의학과의원,의원,"경기도 부천시 길주로 284 416호, 417호, 헤리움메트로타워 (중동)",
레브린정신건강의학과의원,의원,서울특별시 강남구 삼성로140길 6 라파빌딩 2층 (청담동),
로뎀나무,정신재활시설,"서울특별시 서대문구 증가로24마길 19, 101호",www.rodemnamu.or.kr
로뎀나무정신건강의학과의원,의원,"울산광역시 남구 삼산로 216 7층 (달동, 인성빌딩)",
로뎀정신건강의학과의원,의원,광주광역시 서구 상무대로 992 장성강정형외과 2층 (쌍촌동),
로뎀정신건강의학과의원,의원,부산광역시 북구 화명대로 20 대성빌딩 10층 (화명동),
로뎀정신건강의학과의원,의원,전라남도 광양시 중마중앙로 60 2층 (중동),
로뎀정신과의원,의원,"서울특별시 강남구 삼성로96길 27 401호 (삼성동, 진솔빌딩)",https://www.goodoc.co.kr/hospitals/35072
루이스정신건강의학과의원,의원,"경상남도 창원시 성산구 마디미서로 26 (상남동, 한독빌딩)",
류정신건강의학과 의원,의원,부산광역시 사하구 낙동대로 447 6층 (하단동),
류정신건강의학과의원,의원,제주특별자치도 제주시 건주로 22 3층 (삼양이동),
류정신건강의학과의원,의원,전라북도 익산시 중앙로 6 (중앙동1가),
류정신건강의학과의원,의원,경상북도 영천시 완산로 46 3층 (완산동),
류한욱정신과의원,의원,"서울특별시 강남구 학동로 342 (논현동, 301, 301-1호)",https://www.modoodoc.com/hospital/6317/%EB%A5%98%ED%95%9C%EC%9A%B1%EC%A0%95%EC%8B%A0%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EA%B0%95%EB%82%A8%EA%B5%AC-%EB%85%BC%ED%98%84%EB%8F%99/
리본병원,병원,"서울특별시 구로구 경인로 393-7 일이삼전자타운 5,6,7층 (고척동)",
리앤리,정신재활시설,인천광역시 연수구 한나루로 186번길 54,
리앤박정신건강의학과의원,의원,"부산광역시 연제구 중앙대로 1114 (연산동, 4층 일부)",
리즈정신건강의학과의원,의원,"부산광역시 남구 수영로 182-1 (대연동, 리즈메디칼4층)",
리커버리하우스,정신재활시설,"서울특별시 관악구 남부순환로172길 116(신림동), 2층",www.1wool.or.kr
마곡정신건강의학과의원,의원,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 4층 401호 (마곡동),
마나스정신건강의학과의원,의원,"서울특별시 관악구 장군봉1길 56 3층 (봉천동, 우형빌딩)",https://blog.naver.com/manasclinic
마리정신과의원,의원,"경기도 하남시 신장로 156 407호 (덕풍동, 하남프라자)",
마마라 정신건강의학과 의원,의원,"경기도 수원시 팔달구 아주로 3 3층 (우만동, 대학빌딩 3층 일부(301호))",
마마라정신건강의학과의원,의원,경기도 성남시 중원구 성남대로 1144 3층 (성남동),
마산정신요양원,정신요양시설,경상남도 창원시 마산합포구 진북면 진북산업로622-60,www.msmental.or.kr
마야정신요양원,정신요양시설,경상북도 영천시 북안면 내서로 55-24,maya88.co.kr
마음건강,정신재활시설,전라북도 전주시 완산구 권삼득로 40 (1층),http://www.mhwc.or.kr
마음건강복지관,정신재활시설,전라북도 전주시 완산구 물왕멀2길 20-29 (2~5층),http://www.mhwc.or.kr
마음건강회복홈,정신재활시설,전라북도 전주시 완산구 물왕멀2길 25,http://www.mhwc.or.kr
마음건강힐링홈,정신재활시설,전라북도 전주시 완산구 물왕멀2길 20-17,http://www.mhwc.or.kr
마음공간정신건강의학과의원,의원,서울특별시 종로구 세종대로 159 9층 (세종로),
마음공감정신건강의학과의원,의원,"경기도 고양시 덕양구 화정로 53 303호 (화정동, 새롬프라자)",
마음과마음정신건강의학과의원,의원,"경기도 시흥시 정왕대로 230 4층 405호 (정왕동, 제일프라자)",
마음과마음정신건강의학과의원,의원,서울특별시 서초구 강남대로39길 6-21 2층 (서초동),
마음과마음정신건강의학과의원,의원,"서울특별시 동대문구 고산자로 399 304호, 305호 (용두동)",
마음과마음정신건강의학과의원,의원,대구광역시 수성구 달구벌대로 2295 5층 (수성동4가),
마음과마음정신건강의학과의원,의원,"경상남도 창원시 의창구 원이대로 591 (용호동, 엑스플러스빌딩8층)",
마음과마음정신과의원,의원,"경기도 용인시 수지구 문정로 13 6층 (풍덕천동, 중수프라자)",
마음과마음정신과의원,의원,서울특별시 구로구 도림로 65 한정빌딩 2층 (구로동),
마음과마음정신과의원,의원,"인천광역시 연수구 청능대로 103 3층 (연수동, 비와이씨빌딩)",
마음과마음정신과의원,의원,"경기도 고양시 일산서구 중앙로 1426 511호 (주엽동, 일송노블레스)",
마음과사람정신건강의학과의원,의원,서울특별시 마포구 마포대로 53 마포트라팰리스 C동 206호 (도화동),
마음과정신건강의학과의원,의원,"서울특별시 강서구 화곡로 161 3층 303호 (화곡동, 대성빌딩)",
마음나눔 정신건강의학과의원,의원,"광주광역시 남구 제석로 110 5층 (봉선동, 메가시티)",
마음누리정신건강의학과의원,의원,서울특별시 동작구 동작대로 7 5층 (사당동),
마음누리정신과의원,의원,"서울특별시 강남구 삼성로 155 419, 420호 (대치동, 대치퍼스트빌딩)",
마음똑똑정신건강의학과의원,의원,경기도 수원시 영통구 중부대로 266-1 2층 (매탄동),
마음무늬정신건강의학과의원,의원,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포한강2차푸르지오)",
마음미소정신건강의학과의원,의원,경기도 고양시 일산동구 정발산로 38 장항동이스턴시티 207호 (장항동),
마음미소정신건강의학과의원,의원,경기도 부천시 부천로29번길 7 부천메디컬프라자 주건축물 1동 302호 (심곡동),
마음벗김종범정신과의원,의원,서울특별시 강북구 도봉로 329 5층 (수유동),
마음본정신건강의학과의원,의원,경기도 화성시 동탄순환대로 127-17 우성메디피아 408호 (산척동),
마음봄정신건강의학과의원,의원,서울특별시 동작구 상도로 247 4층 (상도동),
마음빛정신건강의학과의원,의원,경기도 성남시 중원구 산성대로 248-2 3층 (중앙동),
마음사랑의집,정신재활시설,전라북도 정읍시 수성택지3길 28,www.maumsarangzip.com
마음사랑정신건강의학과의원,의원,"전라북도 익산시 무왕로 1114 3층 (어양동, 정암빌딩)",
마음사랑정신건강의학과의원,의원,서울특별시 마포구 신촌로16길 4 3층 (노고산동),
마음사랑정신건강의학과의원,의원,강원도 원주시 평원로 62 (평원동),
마음사랑정신건강의학과의원,의원,대전광역시 서구 둔산로 134 302호 (둔산동),
마음샘정신건강의학과의원,의원,"서울특별시 서초구 서초대로 302 502호 (서초동, 교대역인앤인오피스)",
마음샘정신재활센터,정신재활시설,경기도 수원시 장안구 경수대로 754번길 26-17,ikpr.or.kr
마음셈정신건강의학과의원,의원,경기도 부천시 부일로 203 상동스카이뷰자이 204호 일부 (상동),
마음숲정신건강의학과의원,의원,대구광역시 수성구 달구벌대로 3261 5층 (신매동),
마음쉼정신건강의학과의원,의원,서울특별시 강남구 강남대로 238 스카이쏠라빌딩 10층 (도곡동),
마음아안녕정신건강의학과의원,의원,경기도 화성시 동탄대로 495 동탄역리치안 406호 (오산동),
마음안정신건강의학과의원,의원,서울특별시 강동구 올림픽로 651 6층 (천호동),
마음애병원,기초정신건강복지센터,"충청남도 천안시 서북구 서부8길 29, 2층",www.cancenter.or.kr
마음앤정신건강의학과의원,의원,충청북도 충주시 봉계1길 54 (칠금동),
마음엔정신건강의학과의원,의원,"충청남도 아산시 시민로 364-33 4층 (온천동, 중화한의원)",
마음연정신건강의학과의원,의원,서울특별시 서초구 방배로 111 3층 (방배동),
마음온정신건강의학과의원,의원,부산광역시 부산진구 새싹로 10-1 (부전동),
마음의 뜰 정신건강의학과의원,의원,서울특별시 양천구 목동동로 268 신한빌딩 5층 (목동),
마음의날씨정신건강의학과의원,의원,경기도 안산시 단원구 선부광장1로 82 서림프라자 3층 305호 (선부동),
마음의지도정신건강의학과의원,의원,서울특별시 강서구 강서로 186 2층 (화곡동),
마음의평화정신건강의학과의원,의원,"전라북도 전주시 완산구 용머리로 57 602호 (효자동1가, 전주크리닉센타)",
마음이편한정신과의원,의원,충청남도 공주시 우금티로 513 2층 (금학동),
마음자리,정신재활시설,"서울특별시 양천구 목동 중앙남로 16다길 9, 204호",maumjary.co.kr
마음자리,정신재활시설,"인천광역시 남동구 경인로 599번길 26-6 좋은하루 다동 201, 202호",cafe.naver.com/maum0129
마음자리정신과의원,의원,"경기도 군포시 산본천로 62 409호 (산본동, 인베스텔)",
마음정신건강의학과의원,의원,인천광역시 서구 서곶로 293 (심곡동),
마음정신건강의학과의원,의원,"서울특별시 송파구 송파대로 404-1 2층, 지하1층 (송파동)",
마음정원정신건강의학과의원,의원,인천광역시 연수구 신송로 153 더 마란츠타워 202호 (송도동),
마음찬정신건강의학과의원,의원,경기도 광명시 오리로 973 광천빌딩 302호 (광명동),
마음초롱정신건강의학과의원,의원,"경기도 용인시 기흥구 죽전로 29 (보정동, 포레스트프라자)",
마음터,정신재활시설,"충청남도 천안시 서북구 서부8길 10, 3층",
마음토닥정신건강의학과의원,의원,"경기도 안산시 단원구 광덕대로 174 C동 518호 (고잔동, 월드타운)",
마음편한 정신건강의학과 의원,의원,전라남도 강진군 강진읍 평동2길 30 지 스퀘어 플러스 2층,
마음편한정신건강의학과의원,의원,"경기도 고양시 일산서구 중앙로 1575 501호 (대화동, 그린코아)",
마음편한정신건강의학과의원,의원,"서울특별시 도봉구 노해로63길 78 502호 (창동, 신원빌딩)",
마음편한정신건강의학과의원,의원,강원도 원주시 서원대로 406 503호 (단구동),
마음편한정신건강의학과의원,의원,"충청북도 청주시 흥덕구 풍산로 26 (가경동, 대한빌딩 2층)",
마음편한정신건강의학과의원,의원,대전광역시 동구 동서대로 1671 4층 (용전동),
마음편한정신건강의학과의원,의원,전라북도 전주시 완산구 용머리로 156 4층 (효자동1가),
마음편한정신건강의학과의원,의원,"광주광역시 남구 대남대로 342 3층 (월산동, 월산회관)",
마음편한정신건강의학과의원,의원,경상북도 영주시 광복로 74 3층 (하망동),
마음편한정신건강의학과의원,의원,경상남도 창원시 성산구 동산로 124 성원아파트 성원종합상가 5층 515호 (상남동),
마음편한집,정신요양시설,충청남도 천안시 동남구 동면 동산행암길 44-67,www.mindmind.net
마음행복정신건강의학과의원,의원,"인천광역시 서구 중봉대로586번길 9-4 쓰리엠타워 504,505호 (연희동)",
마인드,정신재활시설,"서울특별시 동대문구 전농로 38길 35, 2,3층",www.마인드.com
마인드닥터주니어정신건강의학과의원,의원,"서울특별시 중랑구 망우로 353 C동 301호 (상봉동, 현대이노시티)",
마인드랩공간정신건강의학과의원,의원,서울특별시 강남구 언주로130길 10 지하2층 (논현동),
마인드병원,병원,대전광역시 서구 대덕대로242번길 48 유니온빌딩,
마인드병원,중독관리통합지원센터,"대전광역시 대덕구 중리서로 42, 3층 (중리동)",www.ddgacc.com
마인드애플정신건강의학과의원,의원,대구광역시 수성구 동대구로 311 범어 애플타워 9층 902호 (범어동),
마인드풀정신건강의학과의원,의원,"부산광역시 수영구 수영로 699 8층 801호 (수영동, 수영동디온플레이스)",
마인드필정신건강의학과의원,의원,"대구광역시 북구 침산남로 136 6층 (침산동, 동성빌딩)",
마인드힐링정신건강의학과의원,의원,"서울특별시 강남구 선릉로86길 17 702호 (대치동, 선릉엠티빌딩)",
마인드힐정신건강의학과의원,의원,서울특별시 종로구 새문안로 69 구세군회관 706호 (신문로1가),
마중물,정신재활시설,대전광역시 대덕구 중리동로 27번길 14-11,
마포구보건소,보건소,서울특별시 마포구 월드컵로 212 ,
맑은마음정신건강의학과의원,의원,충청남도 천안시 서북구 충무로 215 4층 (쌍용동),
맑은마음정신과의원,의원,"경기도 고양시 일산동구 중앙로 1072 401호 (백석동, 아이비프라자)",
맑은마음정신과의원,의원,경상북도 구미시 신시로 75 (형곡동),
맑은샘,정신재활시설,"서울특별시 강동구 구천면로 28길 21, 401호(천호동)",igonggam.net
맑은샘사회복귀시설,정신재활시설,광주광역시 서구 독립로 200,www.gjw.or.kr/malknsem
맑은샘정신건강의학과의원,의원,대구광역시 달서구 이곡동로 23 5층 503호 (이곡동),
맑은샘정신건강의학과의원,의원,서울특별시 강서구 강서로 43-17 (화곡동),
맑은세상정신건강의학과의원,의원,"경기도 성남시 분당구 성남대로 38 403호 (구미동, 비즈바이코리아)",
맑은정신건강의학과의원,의원,전라북도 전주시 완산구 충경로 50 (중앙동3가),
맑은정신건강의학과의원,의원,부산광역시 사하구 낙동남로 1392 (하단동),
맑은정신건강의학과의원,의원,강원도 춘천시 경춘로 2362 2층 201호 (온의동),
맑음정신건강의학과의원,의원,경상남도 양산시 동면 금오로 255 305호,
맘정신건강의학과의원,의원,전라북도 전주시 덕진구 기린대로 481 동원타워 5층 (덕진동1가),
맘튼정신건강의학과의원,의원,대구광역시 달서구 월배로 147 3층 302호 (진천동),
맘편한정신건강의학과의원,의원,"경기도 부천시 부일로 293 4층, 5층 (상동, 엘티타워)",
멋진월요일,정신재활시설,서울특별시 성동구 성덕정길 116 4층,wm.ggcoop.or.kr
메드윌병원,병원,"부산광역시 금정구 중앙대로 1951 (구서동, 메드월병원)",
메디플렉스 세종병원,종합병원,인천광역시 계양구 계양문화로 20 (작전동),
메리놀병원,기초정신건강복지센터,"부산광역시 중구 중구로 70-1, 4층",www.jmhc.co.kr
메타메디병원,병원,경기도 화성시 동탄원천로 338-7 동탄V프라자 3~7층 (능동),
메트로병원,병원,경상남도 창원시 의창구 평산로219번길 3 (서상동),
메티스정신과의원,의원,서울특별시 강남구 언주로 413 4층 (역삼동),
멘토스병원,병원,서울특별시 동대문구 한천로 49 (답십리동),
명륜신경정신과의원,의원,"서울특별시 종로구 대학로 144 (혜화동, 중원빌딩)",
명신경정신과의원,의원,대구광역시 수성구 달구벌대로 3209 (신매동),
명원정신건강의학과의원,의원,"경상남도 진주시 진양호로 526 (본성동, 백상빌딩)",
명정신건강의학과의원,의원,전라남도 목포시 옥암로 147 (상동),
명지병원,기초정신건강복지센터,서울특별시 강서구 공항대로 561 강서구보건소 지하1층,www.kscmhc.or.kr/
명지정신건강의학과의원,의원,부산광역시 강서구 명지국제8로 264 삼성프라자 4층 402호 (명지동),
모란정신건강의학과의원,의원,"경기도 성남시 중원구 성남대로1130번길 3 5층 501호 (성남동, 엠스퀘어)",
목동하늘샘,정신재활시설,"서울특별시 양천구 목동 중앙남로 9길 28-1, 201호",fountainhouse.or.kr
목포기독병원,종합병원,전라남도 목포시 백년대로 303 (상동),
목포시 정신건강복지센터,기초정신건강복지센터,전라남도 목포시 석현로48(2층),www.jncsw.org/mmhc
목포시 중독관리통합지원센터,중독관리통합지원센터,전라남도 목포시 석현로 48(하당보건지소),www.mokpocity.com
목포시보건소,보건소,전라남도 목포시 원산로 45번길 5 ,
목포시의료원,공립,전라남도 목포시 이로로 18,
목포시의료원,종합병원,전라남도 목포시 이로로 18 (용해동),
목포한국병원,종합병원,전라남도 목포시 영산로 483 (상동),
목화밭,정신재활시설,"경기도 남양주시 경춘로양골2길 11-6, B동 201호(금곡동)",www.목화밭.kr
무등정신건강의학과의원,의원,광주광역시 북구 동문대로 179 3층 (두암동),
무안군 정신건강복지센터,기초정신건강복지센터,전라남도 무안군 무안읍 무안로 530,www.muan.go.kr
무안군보건소,보건소,전라남도 무안군 무안읍 무안로 530 ,
무주군 정신건강복지센터,기초정신건강복지센터,전라북도 무주군 무주읍 한풍루로 413,www.muju.go.kr
무주군보건의료원,보건소,전라북도 무주군 무주읍 한풍루로 413,
무주리(술없는마을),정신재활시설,"강원도 동해시 월평로49, 규수방 아파트 102동 504호",
무지개둥지,정신재활시설,서울특별시 은평구 연서로 45-2,caf?.daum.net/psygrouphome
무지개마을,정신요양시설,제주특별자치도 제주시 아봉로 449-1 (월평동),www.gongsaeng.or.kr
무지개병원,병원,광주광역시 서구 경열로 122 1-6층 (양동),
문경대학교,기초정신건강복지센터,경상북도 문경시 신흥로 165(2층),www.mgmind.or.kr
문경서정신건강의학과의원,의원,서울특별시 광진구 능동로 390 (중곡동),
문경시보건소,보건소,경상북도 문경시 점촌1길 9 ,
문석호정신건강의학과의원,의원,경상남도 창원시 마산합포구 해안대로 15 파라다이스빌딩 4층 404-3호 (해운동),
문성실정신건강의학과의원,의원,"경기도 의정부시 시민로 120 3층 (의정부동, 은덕빌딩)",
문정신건강의학과의원,의원,"경기도 광명시 범안로 1055 3층 301호 (하안동, 세일빌딩)",
문철훈신경정신과의원,의원,광주광역시 북구 경열로 198 3층 (유동),
문홍세신경정신과의원,의원,서울특별시 강남구 강남대로 524 (논현동),
문화정신건강의학과의원,의원,"서울특별시 은평구 은평로 194 2층 203, 204호 (응암동)",
미강정신건강의학과의원,의원,"경기도 광명시 오리로 861 2층 201호 (철산동, 대성빌딩)",
미래병원,병원,"경상북도 구미시 여헌로 30 2,3층 (인의동)",
미래병원,병원,전라북도 김제시 금구면 낙산1길 74-1 (),
미래병원,기초정신건강복지센터,전라북도 김제시 성산길 138,www.gimjemind.or.kr
미래신경정신과의원,의원,"경기도 안양시 만안구 안양로 253 3층 (안양동, 신양빌딩)",
미래정신건강의학과의원,의원,경기도 화성시 떡전골로 72-3 4층 402호 (병점동),
미래정신건강의학과의원,의원,대전광역시 대덕구 계족산로 2 3층 (중리동),
미래정신과의원,의원,"인천광역시 남동구 성말로13번길 15 3층 9호 (구월동, 메인프라자)",
미래정신과의원,의원,"경기도 군포시 산본로323번길 16-25 401호 (산본동, 삼일빌딩)",
미래지움,정신재활시설,대구광역시 북구 대학로 61-1,happylog.naver.com/mirezium
미소드림정신과의원,의원,"경기도 수원시 팔달구 덕영대로 923-10 (매산로1가,204호)",
미소마음정신건강의학과의원,의원,울산광역시 남구 삼산로 266 굿모닝클리닉 13층 1301호 (삼산동),
미소인정신건강의학과의원,의원,부산광역시 부산진구 골드테마길 3 4층 (범천동),
미소정신건강의학과의원,의원,"경기도 고양시 일산서구 중앙로 1565 503호 (대화동, 메드위즈빌딩)",
미소정신건강의학과의원,의원,"서울특별시 마포구 마포대로 52 207호 (도화동, 고려아카데미텔Ⅱ)",
미소정신건강의학과의원,의원,서울특별시 강남구 논현로 841 제이비 미소빌딩 3층 310호 (신사동),
미소진정신과의원,의원,"경기도 부천시 길주로 87 202호 (상동, 에이플러스)",
미아정신건강의학과의원,의원,"서울특별시 강북구 도봉로 40 3층 (미아동, 대경빌딩)",
미주병원,병원,대구광역시 달서구 당산로 138 (성당동),
미추홀구보건소,보건소,인천광역시 미추홀구 주안서로 25,
미추홀하우스,정신재활시설,인천광역시 미추홀구 경인로 268번길 33-13,
민들레병원,중독관리통합지원센터,경기도 파주시 조리읍 봉천로 68,www.pajuacc.com
민들레병원,병원,경기도 파주시 탄현면 소리개길 74-17 (민들레병원),
민정신건강의학과의원,의원,"서울특별시 마포구 성암로 189 지하1층 B104-1호 (상암동, 중소기업 DMC 타워)",
민중병원,병원,강원도 원주시 신림면 용소막길 20-1 (신림면),
밀양시 정신건강복지센터,기초정신건강복지센터,경상남도 밀양시 삼문중앙로 41,www.mirmind.miryang.go.kr
밀양시보건소,보건소,경상남도 밀양시 삼문중앙로 41 ,
바람숲,정신재활시설,"경기도 김포시 대서명로 8번길 21, 형우이즈뷰 나동",www.baramsoop.or.kr
