기관명,기관구분,주소,홈페이지,latitude,longitude,전화번호
다정정신건강의학과의원,의원,경기도 수원시 권선구 금곡로 205 해피라움 4층 406호 (금곡동),,37.2743277,126.9529589,031-245-4545
다정한정신과의원,의원,대전광역시 동구 우암로 159 (성남동),,36.3412434,127.4352973,042-624-8275
다함정신건강 상담센터,정신재활시설,"서울특별시 성북구 보문로34길 39, 4층",www.swumentalhealth.com,37.5907687,127.0174727,전화번호 없음
닥터오즈정신건강의학과의원,의원,대전광역시 서구 청사로 121 (월평동),,36.3600844,127.3772804,042-488-3367
닥터진정신건강의학과의원,의원,경상남도 창원시 성산구 원이대로 646 (상남동),,35.2247661,128.6841912,02-402-0667
닥터진힐링정신건강의학과의원,의원,"서울특별시 송파구 송이로 200 2층 (문정동, 대진빌딩)",,37.4900145,127.1279875,02-402-0667
닥터최정신건강의학과의원,의원,경기도 수원시 팔달구 권광로 181 씨네파크 307-1호 (인계동),,37.263953,127.0322603,031-224-8253
단국대학교 의과대학 부속병원,기초정신건강복지센터,경기도 안성시 강변로 74번길 18 안성시보건소 4층,www.asmhwc.co.kr,37.0001476,127.2698156,041-550-7180
단국대학교의과대학부속병원,상급종합병원,충청남도 천안시 동남구 망향로 201 (안서동),,36.8319085,127.1712099,041-550-7180
단비정신건강의학과의원,의원,"경기도 성남시 분당구 대왕판교로606번길 58 2-26호 (삼평동, 판교푸르지오월드마크)",,37.3952618,127.1134958,778-7097
단양군 정신건강복지센터,기초정신건강복지센터,충청북도 단양군 단양읍 삼봉로 53,www.danyang.go.kr/health,36.9814831,128.3503749,전화번호 없음
단양군보건소,보건소,충청북도 단양군 단양읍 삼봉로 53,,36.9814831,128.3503749,043-422-1491
달구벌정신 건강센터,정신재활시설,"대구광역시 동구 신성로 63, 3층(신암동)",www.truefriends.or.kr,35.8803941,128.6133645,전화번호 없음
달서구보건소,보건소,대구광역시 달서구 학산로 45,,35.8297076,128.5329629,053-667-5701
달성군보건소,보건소,대구광역시 달성군 현풍면 비슬로 130길 17 ,,35.6948639,128.4389061,053-581-1005
달성정신재활센터 해피하우스,정신재활시설,"대구광역시 달성군 화원읍 성화로 20, 2층",www.dshappy.or.kr,35.8010007,128.4905425,053-638-7009
달팽이의 꿈,정신재활시설,경기도 안성시 금광면 배티로 702-16,cafe.naver.com/choiyun41.cafe,36.9779298,127.3089734,031-676-1060
담양군 정신건강복지센터,기초정신건강복지센터,전라남도 담양군 담양읍 완동길 10-11,,35.3249523,126.9813271,전화번호 없음
담양군보건소,보건소,전라남도 담양군 담양읍 완동길 10-11 ,,35.3249523,126.9813271,061-382-2465
담은정신건강의학과의원,의원,전라남도 순천시 왕지2길 4-20 2층 (왕지동),,34.9691821,127.5223866,727-3063
담쟁이,정신재활시설,경기도 성남시 중원구 자혜로 16번길 45-6 202호 럭키아트빌,0with-coop.org/,37.4462186,127.1600444,031-356-5866
당진시 정신건강복지센터,기초정신건강복지센터,충청남도 당진시 서부로 56,www.dangjin.go.kr/health.do,36.88734160000001,126.6298943,041-352-4071
당진시보건소,보건소,충청남도 당진시 서부로 56 ,,36.88734160000001,126.6298943,041-360-6166
대구가톨릭 사회복지회,중독관리통합지원센터,대구광역시 달서구 학산로 50 ,www.119addiction.com,35.8290219,128.5343617,053-252-9887
대구가톨릭 사회복지회,중독관리통합지원센터,경상북도 구미시 검성로 115-1,www.gmaddiction.or.kr,36.1185105,128.4300793,053-252-9887
대구가톨릭대학교,기초정신건강복지센터,"대구광역시 동구 동촌로79, 동구보건소4층 ",www.동구정신건강복지센터.kr,35.8881818,128.6511514,053-320-2500
대구가톨릭대학교병원,상급종합병원,대구광역시 남구 두류공원로17길 33 (대명동),,35.8442021,128.5679873,053-320-2500
대구가톨릭대학교의료원,광역정신건강복지센터,대구광역시 남구 두류공원로 17길 대구가톨릭대학교병원 내 라파엘관 5층,www.dgmhc.or.kr,35.8438086,128.5670053,053-650-3802
대구광역시립희망원 아름마을,정신요양시설,대구광역시 달성군 화원읍 명천로 58,www.ehope.or.kr,35.8050272,128.5098805,전화번호 없음
대구광역자살예방센터,자살예방센터,대구광역시 남구 두류공원로 17길 33 대구가톨릭대학교병원 라파엘관 5층,,35.8438086,128.5670053,전화번호 없음
대구대학교 정신건강상담센터,정신재활시설,경상북도 경산시 진량읍 대구대로 201 대구대학교 경산캠퍼스 조형예술대학 3호관 1층,www.daegu.ac.kr,35.9021687,128.849098,전화번호 없음
대구시청 보건건강과,보건소,대구광역시 중구 공평로 88 (동인동1가),,35.871479,128.601482,전화번호 없음
대구위니스,정신재활시설,대구광역시 북구 옥산로 49 상미빌딩 3층,www.benest.or.kr,35.8853443,128.5814978,전화번호 없음
대구의료원,기초정신건강복지센터,대구광역시 서구 북비산로71길7 2층,www.sgmhc.co.kr,35.8802348,128.5723629,053-252-3500
대구의료원,공립,대구광역시 서구 평리로 157,,35.8594336,128.5406504,053-252-3500
대구의료원,종합병원,대구광역시 서구 평리로 157 (중리동),,35.8594336,128.5406504,053-252-3500
대구재활센터,정신재활시설,대구광역시 달서구 성서공단북로 124,www.dgprc.org,35.844003,128.4861862,070-4400-5911
대구정신병원,기초정신건강복지센터,대구광역시 달서구 학산로 50 월성문화관 내,www.dsmhc.or.kr,35.8290219,128.5343617,053-325-0136
대구정신병원,공립,대구광역시 달성군 화원읍 명천로 58,,35.8050272,128.5098805,053-325-0136
대구정신병원,병원,"대구광역시 달성군 화원읍 명천로 58 대구광역시 시립희망원, 대구정신병원",,35.804209,128.510298,053-325-0136
대구정신장애인 종합재활센터 미래엔미소클럽,정신재활시설,"대구광역시 서구 옥산로 6길 9, 4층",cafe.naver.com/miremiso8310,35.8858319,128.5786757,전화번호 없음
대구파티마병원,종합병원,대구광역시 동구 아양로 99 (신암동),,35.8842001,128.6240455,053-323-6966
대길엘림,정신재활시설,"서울특별시 금천구 시흥대로 54길 19, 301호",daegilwelfare.com,37.4523527,126.9027878,02-802-9910
대길푸른초장,정신재활시설,서울특별시 영등포구 영등포로 84길 4-14,www.greengrass.or.kr/,37.5130074,126.9221114,전화번호 없음
대덕구보건소,보건소,대전광역시 대덕구 석봉로 38번길 55,,36.4448979,127.4262827,042-608-5499
대동병원,종합병원,부산광역시 동래구 충렬대로 187 (명륜동),,35.2042331,129.0802217,031-222-4527
대동병원,병원,대구광역시 동구 화랑로 169 (효목동),,35.879437,128.6480008,031-222-4527
대림성모병원,종합병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",,37.4906357,126.9071846,02-829-9000
대성그린빌,정신요양시설,경상북도 안동시 임하면 진사리길 14,www.dsw21.com,36.4808985,128.8297385,054-822-8870
대성재활센터,정신재활시설,경상북도 안동시 임하면 고곡길260,www.dsmrc.com,36.4858701,128.8390079,054-821-0765
대성정신건강의학과의원,의원,서울특별시 강동구 진황도로 158 (둔촌동),,37.53194,127.1415458,02-482-4288
대아의료재단한도병원,종합병원,경기도 안산시 단원구 선부광장로 103 (선부동),,37.3340423,126.8076183,031-8040-1114
대연성모병원,병원,부산광역시 남구 황령대로353번길 66 (대연동),,35.1480959,129.0987976,051-621-2311
대연힐정신건강의학과의원,의원,부산광역시 남구 수영로 295 503호 (대연동),,35.136996,129.0982314,051-711-9030
대원대학교 산학협력단,기초정신건강복지센터,충청북도 제천시 의림대로242 보건복지센터 3층,www.jcmind.or.kr,37.1489578,128.2158794,043-649-3504
대자인병원,종합병원,전라북도 전주시 덕진구 견훤로 390 (우아동3가),,35.8459449,127.1534117,02-544-7375
대전 중구정신건강복지센터,기초정신건강복지센터,대전광역시 중구 수도산로 15(대흥동),www.djjunggu.go.kr/html/mental,36.3203394,127.4258939,042-486-0005
대전광역시립정신병원,기초정신건강복지센터,"대전광역시 유성구 유성대로 730번길 51, 2층",www.yesmental.or.kr,36.3580873,127.3354645,전화번호 없음
대전광역시립정신병원,공립,대전광역시 유성구 진잠옛로 135번길 87(학하동),,36.3316759,127.306372,전화번호 없음
대전광역시립정신병원,병원,대전광역시 유성구 진잠옛로135번길 87 (학하동),,36.3316759,127.306372,전화번호 없음
대전보훈병원,종합병원,대전광역시 대덕구 대청로82번길 147 147,,36.4471368,127.4396862,042-933-8040
대전시청 건강정책과,보건소,대전광역시 서구 둔산로 100 ,,36.3501707,127.3848389,전화번호 없음
대전정신요양원,정신요양시설,대전광역시 동구 옥천로 315(삼정동),www.soungsin.or.kr,36.3170485,127.4772701,042-284-6604
대전한국병원,종합병원,대전광역시 동구 동서대로 1672 (성남동),,36.3483171,127.4357544,042-638-4440
대진의료재단 분당제생병원,종합병원,경기도 성남시 분당구 서현로180번길 20 (서현동),,37.3881306,127.1216232,031-779-0114
대천정신과의원,의원,충청남도 보령시 번영로 11 (대천동),,36.35258719999999,126.5938961,041-935-6440
대치마음정신건강의학과의원,의원,서울특별시 강남구 남부순환로 2927 대치 클래시아 3층 301호 (대치동),,37.4936595,127.0603384,02-555-4607
대한민국재향소방동우회 희망나눔병원,병원,인천광역시 미추홀구 한나루로 420 3~4층 (학익동),,37.4446718,126.6660114,전화번호 없음
대한예수교장로회 대전노회유지재단,중독관리통합지원센터,대전광역시 서구 신갈마로 209번길 25 2층,www.djsaddiction.or.kr,36.3521404,127.3670898,042-621-7353
대화공감정신건강의학과의원,의원,"경기도 고양시 일산서구 중앙로 1573 301호 (대화동, 킨텍스프라자)",,37.6759062,126.746989,031-814-8568
더(the)조은정신건강의학과의원,의원,인천광역시 서구 원당대로 860 보람프라자 804호 (당하동),,37.593172,126.6971701,032-564-7505
더감동정신건강의학과의원,의원,대구광역시 달성군 다사읍 달구벌대로 880 (),,35.8576013,128.4650943,053-593-8875
더공감정신건강의학과의원,의원,"경기도 용인시 수지구 수지로112번길 11 5층 (성복동, 성복프라자)",,37.3125717,127.0804281,031-8019-8300
더공감정신건강의학과의원,의원,세종특별자치시 한누리대로 2135 스타힐타워1 304호 (보람동),,36.4782996,127.2892998,031-8019-8300
더맑은신경정신과의원,의원,"서울특별시 강남구 논현로 507 301호 (역삼동, 성지하이츠3차빌딩)",,37.5015391,127.0361428,02-568-0680
더숲,정신재활시설,경기도 수원시 영통구 권광로 290번길 34-5,,37.273644,127.038423,031-214-5952
더쉼정신건강의학과의원,의원,"경기도 성남시 분당구 대왕판교로606번길 39 201호,202호 (삼평동, 럭스타워)",,37.3964792,127.1115011,031-698-3388
더웰병원,병원,"경기도 수원시 영통구 봉영로 1620 (영통동, 대우월드마크영통 3,5,6,7,8층)",,37.2550514,127.0756277,031-213-3586
더정신건강의학과의원,의원,서울특별시 중구 남대문로9길 40 센터플레이스 204호 (다동),,37.5671407,126.9803407,055-245-7773
더편한정신건강의학과의원,의원,부산광역시 사상구 가야대로 272 메디칼센타 10층 (주례동),,35.1500841,129.0022672,051-711-7751
더하임,정신재활시설,충청남도 금산군 부리면 무금로 1425,www.theheim.net,36.0488641,127.559705,031-374-6712
더휴정신건강의학과의원,의원,경기도 고양시 일산동구 고양대로 757 3층 (중산동),,37.6826498,126.7801943,031-975-5285
덕천엘정신건강의학과의원,의원,부산광역시 북구 만덕대로 16 5층 (덕천동),,35.2102334,129.0068723,051-710-7009
도담,정신재활시설,"서울특별시 동대문구 사가정로 258, 4층",www.dodam-partager.net,37.5790507,127.0735898,031-236-0406
도담도담,정신재활시설,경기도 수원시 영통구 영통로 130번길 45 102호,dodam0997.blog.me,37.2398333,127.0584307,02-565-8001
도란도란,정신재활시설,"대전광역시 유성구 송강로 15, 104동 202호",blog.naver.com/dorandoran5,36.4319428,127.3854576,031-378-8985
도래샘,정신재활시설,충청남도 공주시 큰우물길 3-1,http://cafe.daum.net/doraesam15,36.4458541,127.1240234,031-429-6120
도봉구 정신건강복지센터,기초정신건강복지센터,"서울특별시 도봉구 방학로3길 117, 1층",health.dobong.go.kr/,37.6579784,127.038792,
도봉구보건소,보건소,서울특별시 도봉구 방학로 3길 117 ,,37.6579784,127.038792,02-2091-5454
도봉구정신건강복지센터(부설),자살예방센터,"서울특별시 도봉구 방학로3길 117, 1층",health.dobong.go.kr,37.6579784,127.038792,전화번호 없음
도연정신건강의학과의원,의원,서울특별시 동대문구 망우로 74 2층 (휘경동),,37.5895822,127.0613506,02-2242-8992
돌고래정신건강의학과의원,의원,경상북도 경산시 하양읍 대경로105길 3 2층,,35.9005842,128.8017587,전화번호 없음
돌봄사랑채,정신재활시설,서울특별시 광진구 아차산로 26길 28,dolbom2014.or.kr,37.5402245,127.0654979,02-3409-9443
동광임파워먼트센터,정신재활시설,경기도 부천시 원미구 부일로 191번길 30 동성프라자 701/702호,www.empowerment.or.kr,37.4899855,126.751557,032-323-3206
동교정신건강의학과의원,의원,서울특별시 마포구 신촌로 62 (동교동),,37.5575817,126.9251554,02-334-0401
동구보건소,보건소,부산광역시 동구 구청로 1 ,,35.1292457,129.0454233,032-453-5122
동구보건소,보건소,대구광역시 동구 동촌로 79 ,,35.8881818,128.6511514,032-453-5122
동구보건소,보건소,인천광역시 동구 석수로 90 ,,37.4829973,126.6258267,032-453-5122
동구보건소,보건소,광주광역시 동구 서남로 1 ,,35.1458908,126.9230497,032-453-5122
동구보건소,보건소,대전광역시 동구 동구청로 147 ,,36.3118764,127.4548285,032-453-5122
동구보건소,보건소,울산광역시 동구 봉수로 155 ,,35.505459,129.4171256,032-453-5122
동국대학교경주병원,광역정신건강복지센터,"경상북도 경주시 동대로 87, 복지동3층",www.gbmhc.or.kr,35.8582405,129.1950555,054-770-8333
동국대학교의과대학경주병원,종합병원,경상북도 경주시 동대로 87 (석장동),,35.8582405,129.1950555,054-770-8162
동국대학교일산병원,기초정신건강복지센터,경기도 파주시 봉천로 68 파주건강증진센터 1층,www.pajumind.org,37.7450483,126.8047839,031-968-6282
동국대학교일산불교병원,종합병원,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",,37.6763892,126.806398,031-1577-7000
동그라미,정신재활시설,"서울특별시 광진구 능동로 43길 30-11, 202호",cafe.naver.com/1004round,37.56207080000001,127.0801872,031-664-5962
동그라미,정신재활시설,경기도 안성시 금광면 배티로 702-16,cafe.naver.com/choiyun41.cafe,36.9779298,127.3089734,031-664-5962
동남권원자력의학원,공립,부산광역시 기장군 장안읍 좌동길 40,,35.3211073,129.2438784,051-727-5896
동남권원자력의학원,종합병원,부산광역시 기장군 장안읍 좌동길 40 (),,35.3211073,129.2438784,051-727-5896
동남정신과의원,의원,서울특별시 종로구 북촌로5길 64 3층 (소격동),,37.5799404,126.9814744,041-567-5023
동대문구보건소,보건소,서울특별시 동대문구 천호대로 145 ,,37.5744181,127.0397492,02-2127-5365
동대문아이존,정신재활시설,서울특별시 동대문구 답십리로 63길 73 형제빌딩 2층,www.ddmaizone.or.kr,37.575832,127.0689053,02-2246-5259
동두천시보건소,보건소,경기도 동두천시 중앙로 167 ,,37.896607,127.0518844,031-860-3372
동두천요양원,정신요양시설,경기도 동두천시 평화로 3208번길 43-15,www.ddcmental.or.kr,37.9737179,127.0686836,031-868-2010
동래구보건소,보건소,부산광역시 동래구 명륜로 187번길 56 ,,35.2114242,129.0798974,051-555-4000
동래봉생병원,종합병원,부산광역시 동래구 안연로109번길 27 (안락동),,35.196895,129.0961192,051-531-7100
동래직업재활센터,정신재활시설,"부산광역시 금정구 중앙대로 2093, 10층",blog.naver.com/dongrae20044,35.2711536,129.0923494,051-581-4165
동산의료원,기초정신건강복지센터,대구광역시 달성군 옥포읍 비슬로 458길 6-2 3층,www.mind119.or.kr,35.78969,128.4711344,053-252-3500
동산정신건강의학과의원,의원,대구광역시 동구 송라로 86 대한빌딩 4층 (신천동),,35.8748516,128.6177949,053-253-0600
동서울정신건강의학과의원,의원,서울특별시 광진구 자양로 186-1 1층 (구의동),,37.5441556,127.0851915,02-446-1172
동아대학교병원,상급종합병원,부산광역시 서구 대신공원로 26 (동대신동3가),,35.1201678,129.0178125,051-256-7070
동아대학교병원,광역정신건강복지센터,부산광역시 남구 수영로 299 루미너스타원 12층 ,www.busaninmaum.com,35.1371588,129.098877,051-256-7070
동아메디병원,기초정신건강복지센터,대구광역시 수성구 수성로 213,www.belami.or.kr,35.8447501,128.6122891,053-781-6750
동안정신건강의학과의원,의원,"경기도 안양시 동안구 시민대로 175 301호 (비산동, 동안프라자)",,37.3913387,126.9504182,031-452-7200
동양의료재단연세사랑병원,병원,경상남도 창원시 진해구 행암로 76 (장천동),,35.1286593,128.7011133,055-540-7700
동영의료재단 상록병원,기초정신건강복지센터,부산광역시 동래구 명륜로 187번길 56 동래구보건소 4층,www.dnmhc.co.kr,35.2113842,129.0798625,051-558-1716
동작구 정신건강복지센터,기초정신건강복지센터,서울특별시 동작구 남부순환로 2025,www.dongjak.go.kr,37.4764125,126.973634,
동작구보건소,보건소,서울특별시 동작구 장승배기로 10길 42 ,,37.5044164,126.9411158,02-820-9210
동작아이존,정신재활시설,서울특별시 동작구 국사봉길 109,www.djaizone.or.kr,37.4954654,126.9321312,02-817-5443
동탄정신건강의학과의원,의원,경기도 화성시 동탄순환대로 704 A동 302호 (영천동),,37.208216,127.0866119,031-613-7531
동해동인병원,기초정신건강복지센터,강원도 동해시 청운로 96(쇄운동) 1층,www.dhmhc.or.kr,37.4886014,129.1025939,033-535-2104
동해동인병원,기초정신건강복지센터,강원도 삼척시 척주로 76,www.scmhc.or.kr,37.4437551,129.1723605,033-535-2104
동해동인병원,기초정신건강복지센터,"강원도 태백시 태백로 905(황지동,보건소)",www.Happymind-tb.or.kr,37.1712746,128.9669333,033-535-2104
동해시보건소,보건소,강원도 동해시 천곡로 100-2 ,,37.5228152,129.1170708,033-530-2420
동해정신건강의학과의원,의원,울산광역시 남구 중앙로 239 4층 (신정동),,35.5420783,129.3110089,052-261-1020
동행,정신재활시설,대전광역시 중구 유천로 48번길 31(유천동),www.dh2014.or.kr,36.3175266,127.3996458,031-293-1420
동행,정신재활시설,전라북도 임실군 임실읍 호국로 1716-15,www.go-with.co.kr,35.6145167,127.2897385,031-293-1420
동화정신건강의학과의원,의원,서울특별시 광진구 능동로 385-1 (중곡동),,37.56354400000001,127.0888304,031-302-8998
두드림마음건강센터,정신재활시설,"서울특별시 양천구 등촌로 194, 4층",cafe.daum.net/dodmhc,37.5470276,126.8632293,02-2645-1941
두드림정신건강의학과의원,의원,대구광역시 북구 침산로 138 명성프라임 402호 (침산동),,35.888786,128.5918927,053-354-8275
두드림정신과의원,의원,"경기도 부천시 길주로 181 802~803호 (중동, 골든벨타워)",,37.5052607,126.7626034,032-325-8262
두온,정신재활시설,경기도 용인시 기흥구 상갈로23번길 2 204호,,37.2686919,127.1074062,02-563-4780
둥근나래꿈 남성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",http://둥근마음.kr,35.9304141,126.9467612,전화번호 없음
둥근나래꿈 여성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",http://둥근마음.kr,35.9304141,126.9467612,전화번호 없음
둥근마음,정신재활시설,전라북도 익산시 목천로 229,http://둥근마음.kr,35.9304141,126.9467612,02-2070-7800
드림빌1,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 301호,benest.or.kr,35.8460185,128.5920526,02-805-5553
드림빌2,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 201호,benest.or.kr,35.8460185,128.5920526,02-923-1402
드림정신건강의학과의원,의원,광주광역시 동구 제봉로 27 3층 (학동),,35.1411757,126.9212006,031-613-7531
드림정신건강의학과의원,의원,"충청북도 청주시 흥덕구 2순환로 1240 602호 (강서동, MK빌딩)",,36.6254712,127.4300443,031-613-7531
드림하우스(구 사랑마을),정신재활시설,서울특별시 중랑구 망우로74가길 9,igonggam.net,37.5985898,127.1047011,전화번호 없음
디딤돌,정신재활시설,"서울특별시 도봉구 도당로 27길 47, 2층",ddimdol.biz,37.6695187,127.0407432,070-4594-2312
디딤병원,병원,경기도 부천시 부천로29번길 7 부천메디컬프라자 5~10층 (심곡동),,37.4868766,126.7829861,02-534-7576
디딤정신건강의학과의원,의원,"경기도 화성시 동탄대로 489 우성KTX타워 8층 801,806-1호 (오산동)",,37.19734589999999,127.0982597,031-373-9904
디딤정신건강의학과의원,의원,서울특별시 노원구 노해로 488 5층 (상계동),,37.6543208,127.0621574,031-373-9904
디딤정신건강의학과의원,의원,"서울특별시 서초구 동작대로 118 503호 (방배동, 예다인프라자)",,37.4870056,126.9825578,031-373-9904
디딤정신건강의학과의원,의원,"경기도 안양시 동안구 시민대로 214 1101호 (호계동, 다운타운빌딩)",,37.3919208,126.9547643,031-373-9904
디딤정신건강의학과의원,의원,경기도 의정부시 청사로 50 204호 (금오동),,37.7528272,127.0701744,031-373-9904
디딤정신과의원,의원,"서울특별시 송파구 올림픽로 119 (잠실동, 파인애플상가 4B 29호)",,37.5120464,127.0841726,02-534-7576
디딤터,정신재활시설,충청북도 청주시 서원구 현도면 우록4길126,www.didimter.com,36.5043176,127.4434358,031-224-6857
라끄리니정신건강의학과의원,의원,"경기도 성남시 분당구 성남대로 385 504호 (정자동, 분당클리닉빌딩)",,37.3705055,127.1074624,710-9590
라엘마음병원,병원,"경기도 고양시 덕양구 중앙로 628 예일프라자 7층 6층(607,608)호 (화정동)",,37.6275276,126.8289271,070-8146-7830
라엘정신건강의학과의원,의원,서울특별시 영등포구 양평로 99 10층 (양평동4가),,37.5363174,126.8961515,02-6909-9870
라온 ,정신재활시설,경기도 포천시 삼육사로 2029 엘리트빌리지 가동,www.laon.or.kr,37.8622686,127.1452061,031-357-4439
라온의 집,정신재활시설,충청남도 홍성군 홍성읍 대내길 97번지,http://www4.uilwon.org,36.6128505,126.6750504,031-8003-8832
라온정신건강의학과의원,의원,"인천광역시 연수구 컨벤시아대로 69 (송도동,밀레니엄상가 7층 706-1호)",,37.3956755,126.6509433,032-831-8906
라움정신건강의학과의원,의원,"경상남도 양산시 양산역6길 3 3층 305호 (중부동, 센트럴스위트)",,35.33781159999999,129.0265943,055-383-2468
라임정신건강의학과의원,의원,서울특별시 영등포구 국제금융로 78 홍우빌딩 3층 1호 (여의도동),,37.5208907,126.9312481,02-6105-7520
라임정신건강의학과의원,의원,"서울특별시 서초구 신반포로3길 8 301호 (반포동, 반포프라자)",,37.5021153,126.9869086,02-6105-7520
라파의 집,정신재활시설,충청북도 증평군 증평읍 외룡길32-24,www.rapa.kr,36.7737265,127.6149924,전화번호 없음
라헬정신건강의학과의원,의원,"경기도 부천시 길주로 284 416호, 417호, 헤리움메트로타워 (중동)",,37.5027714,126.7737078,032-322-4289
레브린정신건강의학과의원,의원,서울특별시 강남구 삼성로140길 6 라파빌딩 2층 (청담동),,37.5210512,127.0496747,02-545-0657
로뎀나무,정신재활시설,"서울특별시 서대문구 증가로24마길 19, 101호",www.rodemnamu.or.kr,37.58282,126.9173207,031-307-6419
로뎀나무정신건강의학과의원,의원,"울산광역시 남구 삼산로 216 7층 (달동, 인성빌딩)",,35.5377811,129.3309285,052-260-0023
로뎀정신건강의학과의원,의원,광주광역시 서구 상무대로 992 장성강정형외과 2층 (쌍촌동),,35.1513846,126.8703634,061-793-1359
로뎀정신건강의학과의원,의원,부산광역시 북구 화명대로 20 대성빌딩 10층 (화명동),,35.234714,129.0101214,061-793-1359
로뎀정신건강의학과의원,의원,전라남도 광양시 중마중앙로 60 2층 (중동),,34.935399,127.6984487,061-793-1359
로뎀정신과의원,의원,"서울특별시 강남구 삼성로96길 27 401호 (삼성동, 진솔빌딩)",https://www.goodoc.co.kr/hospitals/35072,37.5093539,127.057952,02-556-4113
루이스정신건강의학과의원,의원,"경상남도 창원시 성산구 마디미서로 26 (상남동, 한독빌딩)",,35.2228328,128.6825963,055-275-7595
류정신건강의학과 의원,의원,부산광역시 사하구 낙동대로 447 6층 (하단동),,35.1048144,128.9694952,053-242-9975
류정신건강의학과의원,의원,제주특별자치도 제주시 건주로 22 3층 (삼양이동),,33.5175374,126.5804558,053-242-9975
류정신건강의학과의원,의원,전라북도 익산시 중앙로 6 (중앙동1가),,35.9397442,126.9480065,053-242-9975
류정신건강의학과의원,의원,경상북도 영천시 완산로 46 3층 (완산동),,35.9641621,128.9392703,053-242-9975
류한욱정신과의원,의원,"서울특별시 강남구 학동로 342 (논현동, 301, 301-1호)",https://www.modoodoc.com/hospital/6317/%EB%A5%98%ED%95%9C%EC%9A%B1%EC%A0%95%EC%8B%A0%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EA%B0%95%EB%82%A8%EA%B5%AC-%EB%85%BC%ED%98%84%EB%8F%99/,37.5166861,127.0405907,3014-9656
리본병원,병원,"서울특별시 구로구 경인로 393-7 일이삼전자타운 5,6,7층 (고척동)",,37.4974023,126.8630938,031-613-0655
리앤리,정신재활시설,인천광역시 연수구 한나루로 186번길 54,,37.4246533,126.6578736,031-703-7272
리앤박정신건강의학과의원,의원,"부산광역시 연제구 중앙대로 1114 (연산동, 4층 일부)",,35.1870356,129.0816741,051-865-0911
리즈정신건강의학과의원,의원,"부산광역시 남구 수영로 182-1 (대연동, 리즈메디칼4층)",,35.134579,129.0865631,051-639-3399
리커버리하우스,정신재활시설,"서울특별시 관악구 남부순환로172길 116(신림동), 2층",www.1wool.or.kr,37.4821691,126.9194668,02-877-9985
마곡정신건강의학과의원,의원,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 4층 401호 (마곡동),,37.5680651,126.8259716,02-2135-2924
마나스정신건강의학과의원,의원,"서울특별시 관악구 장군봉1길 56 3층 (봉천동, 우형빌딩)",https://blog.naver.com/manasclinic,37.4813983,126.9431267,02-6267-7788
마리정신과의원,의원,"경기도 하남시 신장로 156 407호 (덕풍동, 하남프라자)",,37.5399594,127.2019559,031-793-2081
마마라 정신건강의학과 의원,의원,"경기도 수원시 팔달구 아주로 3 3층 (우만동, 대학빌딩 3층 일부(301호))",,37.27514,127.0437904,031-305-8275
마마라정신건강의학과의원,의원,경기도 성남시 중원구 성남대로 1144 3층 (성남동),,37.4318111,127.1295819,031-602-1275
마산정신요양원,정신요양시설,경상남도 창원시 마산합포구 진북면 진북산업로622-60,www.msmental.or.kr,35.1682086,128.4736916,055-271-4664
마야정신요양원,정신요양시설,경상북도 영천시 북안면 내서로 55-24,maya88.co.kr,35.91050980000001,129.0163163,054-333-5006
마음건강,정신재활시설,전라북도 전주시 완산구 권삼득로 40 (1층),http://www.mhwc.or.kr,35.8258681,127.1485694,031-483-6378
마음건강복지관,정신재활시설,전라북도 전주시 완산구 물왕멀2길 20-29 (2~5층),http://www.mhwc.or.kr,35.8268317,127.1495059,063-287-5552
마음건강회복홈,정신재활시설,전라북도 전주시 완산구 물왕멀2길 25,http://www.mhwc.or.kr,35.8273658,127.148644,전화번호 없음
마음건강힐링홈,정신재활시설,전라북도 전주시 완산구 물왕멀2길 20-17,http://www.mhwc.or.kr,35.826857,127.1491765,전화번호 없음
마음공간정신건강의학과의원,의원,서울특별시 종로구 세종대로 159 9층 (세종로),,37.5706016,126.9763539,723-6463
마음공감정신건강의학과의원,의원,"경기도 고양시 덕양구 화정로 53 303호 (화정동, 새롬프라자)",,37.6351823,126.8319038,031-967-8567
마음과마음정신건강의학과의원,의원,"경기도 시흥시 정왕대로 230 4층 405호 (정왕동, 제일프라자)",,37.3449572,126.738475,02-853-6561
마음과마음정신건강의학과의원,의원,서울특별시 서초구 강남대로39길 6-21 2층 (서초동),,37.4869883,127.0319072,02-853-6561
마음과마음정신건강의학과의원,의원,"서울특별시 동대문구 고산자로 399 304호, 305호 (용두동)",,37.575355,127.0375981,02-853-6561
마음과마음정신건강의학과의원,의원,대구광역시 수성구 달구벌대로 2295 5층 (수성동4가),,35.8626915,128.6161169,02-853-6561
